Ticker,MS(0),ROIC(0),MS(5),ROIC(5),MS(10),ROIC(10)
DARA,0.93,0.58,0.74,0.45,0.61,0.38
DAIO,1.51,0.35,0.86,0.2,0.63,0.14
DTLK,0.64,0.11,0.55,0.09,0.49,0.08
DRAM,1.23,0.5,0.9,0.36,0.74,0.3
DWCH,1.27,0.67,1.01,0.57,0.88,0.51
DWSN,1.4,0.25,1.4,0.25,1.4,0.25
TRAK,1.31,0.06,1.19,0.06,1.11,0.05
DHRM,0.51,0.12,0.51,0.12,0.51,0.12
DFRG,1.51,0.08,1.51,0.08,1.51,0.08
DCTH,0.54,0.8,0.2,0.35,0.13,0.22
DGAS,1.02,0.08,1.02,0.08,1.02,0.08
DENN,3.96,0.2,3.96,0.2,3.96,0.2
XRAY,1.82,0.09,1.82,0.09,1.82,0.09
DEPO,2.52,0.41,2.42,0.39,2.34,0.37
DSCI,1.47,0.39,1.14,0.31,0.98,0.27
DEST,0.88,0.21,0.88,0.21,0.88,0.21
DXLG,1.21,0.06,1.21,0.06,1.21,0.06
DXM,1.43,0.04,1.43,0.04,1.43,0.04
DXCM,28.79,0.62,15.48,0.3,11.37,0.22
DMND,1.24,0.05,1.24,0.05,1.24,0.05
DHIL,5.49,0.51,5.49,0.51,5.49,0.51
FANG,1.73,0.09,1.73,0.09,1.73,0.09
DRNA,4.02,0.62,2.61,0.42,2.07,0.34
DGII,0.85,0.11,0.65,0.09,0.54,0.07
DMRC,3.57,0.55,2.2,0.33,1.68,0.25
DRAD,2.12,0.07,1.93,0.06,1.77,0.06
DGLY,3.04,0.36,2.05,0.23,1.61,0.18
APPS,6.64,0.69,4.83,0.52,4.05,0.44
DIOD,1.24,0.12,1.11,0.1,1.02,0.1
DPRX,3.96,0.71,2.46,0.47,1.9,0.37
DTV,2.6,0.22,2.6,0.22,2.6,0.22
DISCA,1.56,0.13,1.56,0.13,1.56,0.13
DSCO,2.6,1.1,0.99,0.5,0.66,0.34
DISH,2.11,0.09,2.11,0.09,2.11,0.09
DVCR,1.17,0.04,1.17,0.04,1.17,0.04
BAGR,1.39,0.03,1.39,0.03,1.39,0.03
DLHC,0.65,0.03,0.65,0.03,0.65,0.03
DLTR,4.89,0.32,4.89,0.32,4.89,0.32
DGICA,0.37,0.01,0.37,0.01,0.37,0.01
DMLP,7.29,0.42,7.29,0.42,7.29,0.42
DORM,3.08,0.25,3.08,0.25,3.08,0.25
HILL,3.32,0.45,1.75,0.22,1.26,0.16
DOVR,1.39,0.11,1.39,0.11,1.39,0.11
DWA,1.39,0.16,1.38,0.16,1.37,0.15
DSKX,3.25,0.21,3.25,0.21,3.25,0.21
DSPG,1.36,0.2,0.87,0.12,0.66,0.09
DTSI,2.33,0.2,1.75,0.15,1.45,0.12
DNKN,2.22,0.11,2.22,0.11,2.22,0.11
DRRX,5.12,0.89,2.29,0.39,1.57,0.27
DXPE,1.24,0.18,1.24,0.18,1.24,0.18
DYAX,17.28,0.2,11.95,0.13,9.54,0.11
BOOM,0.97,0.06,0.97,0.06,0.97,0.06
DYSL,1.21,0.11,0.98,0.09,0.83,0.08
DVAX,4.64,1.08,1.95,0.5,1.34,0.35
ETFC,0.26,0.01,0.26,0.01,0.26,0.01
EGLE,0.59,0.03,0.59,0.03,0.59,0.03
EGRX,16.63,0.69,9.23,0.4,6.79,0.3
EROC,0.8,0.29,0.8,0.29,0.8,0.29
ELNK,1.21,0.04,1.21,0.04,1.21,0.04
EML,1.03,0.1,1.03,0.1,1.03,0.1
EBAY,1.99,0.13,1.77,0.11,1.63,0.1
EBIX,1.8,0.19,1.6,0.16,1.47,0.15
ELON,0.79,0.27,0.48,0.18,0.35,0.14
ECHO,2.29,0.09,2.29,0.09,2.29,0.09
ECTE,1.62,1.02,0.53,0.4,0.34,0.26
SATS,0.97,0.05,0.95,0.05,0.93,0.05
EEI,0.61,0.03,0.61,0.03,0.61,0.03
ESES,1.66,0.4,1.66,0.4,1.66,0.4
EDGW,0.86,0.08,0.86,0.08,0.86,0.08
EDUC,1.0,0.08,1.0,0.08,1.0,0.08
EGAN,2.21,0.44,1.47,0.28,1.16,0.21
EGLT,2.85,0.84,1.78,0.56,1.4,0.45
EHTH,2.14,0.2,2.14,0.2,2.14,0.2
LOCO,2.67,0.11,2.67,0.11,2.67,0.11
ERI,1.02,0.06,1.02,0.06,1.02,0.06
ELRC,0.88,0.08,0.88,0.08,0.88,0.08
ESIO,0.74,0.31,0.5,0.21,0.39,0.17
EA,3.12,0.34,2.0,0.22,1.54,0.17
EFII,1.73,0.16,1.34,0.12,1.12,0.1
ELSE,1.12,0.09,0.98,0.08,0.9,0.07
EBIO,3.83,1.23,1.86,0.56,1.33,0.39
RDEN,0.96,0.17,0.96,0.17,0.96,0.17
ESBK,0.28,0.01,0.28,0.01,0.28,0.01
EMCI,0.32,0.03,0.32,0.03,0.32,0.03
EMKR,0.81,0.21,0.63,0.16,0.53,0.13
EMMS,0.66,0.09,0.66,0.09,0.66,0.09
NYNY,7.92,0.64,4.35,0.36,3.27,0.27
ERS,0.8,0.05,0.8,0.05,0.8,0.05
ENTA,3.1,0.84,2.5,0.64,2.16,0.53
WIRE,1.66,0.1,1.66,0.1,1.66,0.1
ENDP,1.84,0.12,1.76,0.12,1.69,0.11
ECYT,1.2,0.4,0.73,0.24,0.55,0.18
ELGX,4.88,0.2,3.99,0.16,3.47,0.14
EIGI,2.31,0.03,2.23,0.03,2.18,0.02
WATT,3.07,1.65,1.83,0.77,1.39,0.54
EFOI,2.62,0.25,2.36,0.21,2.2,0.2
ERII,1.96,0.31,1.6,0.26,1.4,0.22
EXXI,0.61,0.07,0.61,0.07,0.61,0.07
ENOC,0.77,0.43,0.7,0.39,0.66,0.36
ENG,0.91,0.14,0.91,0.14,0.91,0.14
ENPH,3.75,0.42,2.11,0.23,1.56,0.17
ESGR,0.3,0.02,0.3,0.02,0.3,0.02
ENTG,1.5,0.1,1.35,0.09,1.25,0.08
ETRM,6.05,1.72,1.84,0.68,1.17,0.45
EGT,0.71,0.1,0.7,0.1,0.68,0.1
ENTR,1.33,0.88,0.51,0.37,0.34,0.25
ENVI,0.92,0.4,0.64,0.29,0.51,0.24
ENZN,1.95,1.13,1.26,0.64,0.9,0.43
EPIQ,1.26,0.02,1.26,0.02,1.26,0.02
EPRS,3.68,1.72,1.66,0.46,1.1,0.27
EPZM,3.78,0.57,1.99,0.32,1.46,0.24
PLUS,1.19,0.13,1.19,0.13,1.19,0.13
EQIX,2.37,0.07,2.37,0.07,2.37,0.07
EAC           ,0.73,0.09,0.72,0.09,0.71,0.09
ERIE,0.0,0.05,0.0,0.05,0.0,0.05
ESCA,2.27,0.12,2.27,0.12,2.27,0.12
ESCR,0.41,0.1,0.41,0.1,0.41,0.1
ESMC,1.41,0.33,0.93,0.22,0.73,0.17
ESPR,15.38,0.72,11.24,0.44,9.36,0.35
ESSX,0.78,0.01,0.78,0.01,0.78,0.01
EEFT,1.68,0.08,1.68,0.08,1.68,0.08
EVEP,0.83,0.06,0.83,0.06,0.83,0.06
EVK,0.65,0.1,0.65,0.1,0.65,0.1
EVLV,1.58,0.04,1.58,0.04,1.58,0.04
EVOK,2.81,1.36,1.48,0.75,1.12,0.58
EVOL,2.43,0.28,1.99,0.23,1.74,0.2
EXA,2.77,0.45,1.45,0.22,1.04,0.16
EXAS,5.98,0.55,4.57,0.39,3.8,0.31
EXAC,1.38,0.17,1.15,0.14,1.01,0.13
EDS,0.3,0.5,0.27,0.41,0.25,0.36
EXEL,2.82,1.0,1.1,0.45,0.74,0.31
EXLS,2.04,0.07,2.04,0.07,2.04,0.07
EXPE,1.58,0.06,1.58,0.06,1.58,0.06
EXPD,3.08,0.2,3.08,0.2,3.08,0.2
EXPO,3.31,0.18,3.31,0.18,3.31,0.18
ESRX,1.59,0.07,1.59,0.07,1.59,0.07
EXLP,1.44,0.07,1.44,0.07,1.44,0.07
EXTR,0.72,0.28,0.53,0.21,0.44,0.18
EZPW,0.63,0.06,0.63,0.06,0.63,0.06
FFIV,3.98,0.36,3.06,0.27,2.59,0.23
FB,5.73,0.29,5.02,0.24,4.57,0.21
FCS,1.39,0.11,1.07,0.09,0.9,0.08
FRP,0.97,0.06,0.97,0.06,0.97,0.06
FWM,1.35,0.07,1.35,0.07,1.35,0.07
FALC,1.51,0.45,0.73,0.23,0.5,0.16
DAVE,3.42,0.18,3.42,0.18,3.42,0.18
FARM,1.6,0.04,1.6,0.04,1.6,0.04
FARO,1.76,0.16,1.51,0.14,1.36,0.12
FAST,5.22,0.34,5.22,0.34,5.22,0.34
FATE,2.64,0.86,1.46,0.46,1.08,0.34
FBRC,0.17,0.03,0.17,0.03,0.17,0.03
FDML,0.69,0.04,0.69,0.04,0.69,0.04
FNHC,0.83,0.13,0.83,0.13,0.83,0.13
FEIC,2.17,0.16,1.79,0.13,1.57,0.12
FHCO,2.71,0.15,2.71,0.15,2.71,0.15
FCSC,3.27,0.85,1.71,0.48,1.24,0.36
FDUS,1.04,0.06,1.04,0.06,1.04,0.06
FRGI,4.08,0.18,4.08,0.18,4.08,0.18
FSC,0.84,0.05,0.84,0.05,0.84,0.05
FSFR,0.79,0.05,0.79,0.05,0.79,0.05
FNGN,5.17,0.22,4.31,0.18,3.79,0.16
FNSR,1.57,0.15,1.18,0.12,0.99,0.1
FNJN,1.16,0.38,1.16,0.38,1.16,0.38
FEYE,3.88,0.39,3.28,0.33,2.97,0.3
FCFS,2.27,0.19,2.27,0.19,2.27,0.19
FSLR,0.98,0.09,0.92,0.08,0.88,0.08
SVVC,0.44,0.04,0.44,0.04,0.44,0.04
FSRV,5.79,0.09,5.79,0.09,5.79,0.09
FISV,2.42,0.13,2.42,0.13,2.42,0.13
FIVE,6.48,0.29,6.48,0.29,6.48,0.29
FPRX,3.53,0.55,2.09,0.32,1.57,0.24
FIVN,2.75,0.53,1.87,0.35,1.5,0.28
FLXN,2.41,0.48,1.9,0.33,1.62,0.27
FLXS,1.17,0.14,1.17,0.14,1.17,0.14
FLEX,0.75,0.05,0.75,0.05,0.75,0.05
FLIR,1.98,0.17,1.68,0.14,1.49,0.13
FLDM,3.33,0.23,2.75,0.19,2.43,0.17
FONR,1.02,0.18,0.96,0.17,0.92,0.16
FES,0.67,0.03,0.67,0.03,0.67,0.03
FNRG,2.42,0.23,2.42,0.23,2.42,0.23
FORM,1.54,0.19,1.13,0.14,0.92,0.11
FORR,1.95,0.05,1.95,0.05,1.95,0.05
FTNT,4.51,0.14,3.7,0.11,3.23,0.1
FWRD,3.0,0.18,3.0,0.18,3.0,0.18
FORD,0.38,0.13,0.38,0.13,0.38,0.13
FOSL,2.15,0.26,2.15,0.26,2.15,0.26
FMI,13.31,0.66,8.04,0.42,6.15,0.33
FOXF,2.4,0.2,2.11,0.18,1.93,0.16
FRAN,4.55,0.34,4.55,0.34,4.55,0.34
FELE,1.88,0.09,1.88,0.09,1.88,0.09
FRED,1.04,0.1,1.04,0.1,1.04,0.1
RAIL,0.87,0.08,0.87,0.08,0.87,0.08
FEIM,1.03,0.09,0.91,0.08,0.83,0.07
FTR,0.88,0.05,0.88,0.05,0.88,0.05
FRPH,1.35,0.06,1.35,0.06,1.35,0.06
FTD,0.89,0.05,0.89,0.05,0.89,0.05
FSYS,0.64,0.22,0.51,0.18,0.44,0.16
FTEK,0.73,0.28,0.68,0.27,0.64,0.25
FCEL,1.36,0.16,1.16,0.14,1.04,0.12
FULL,0.82,0.05,0.82,0.05,0.82,0.05
FLL,0.69,0.13,0.68,0.13,0.67,0.13
FSNN,1.03,0.03,1.03,0.03,1.03,0.03
FXEN,1.58,0.33,1.58,0.33,1.58,0.33
GK,1.83,0.11,1.83,0.11,1.83,0.11
GAIA,1.22,0.08,1.22,0.08,1.22,0.08
GALT,2.49,0.72,1.51,0.45,1.15,0.35
GALE,2.94,0.97,1.61,0.54,1.19,0.4
GLPI,2.61,0.12,2.61,0.12,2.61,0.12
GPIC,1.54,0.12,1.43,0.11,1.35,0.11
GRMN,1.89,0.23,1.53,0.19,1.33,0.16
GARS,0.97,0.04,0.97,0.04,0.97,0.04
GKNT,0.69,0.13,0.69,0.13,0.69,0.13
GENC,0.79,0.06,0.75,0.06,0.73,0.05
GNCMA,0.87,0.07,0.87,0.07,0.87,0.07
GFN,0.29,0.09,0.29,0.09,0.29,0.09
GNMK,4.71,0.69,2.65,0.41,1.99,0.31
GNCA,5.89,0.96,2.87,0.51,2.05,0.37
GHDX,5.11,0.44,2.65,0.23,1.89,0.16
GNTX,2.74,0.25,2.45,0.22,2.24,0.2
THRM,3.58,0.29,2.82,0.23,2.41,0.19
GNVC,3.12,0.52,1.38,0.23,0.89,0.15
GEOS,0.81,0.14,0.72,0.13,0.66,0.12
GERN,3.74,0.37,2.47,0.23,1.88,0.17
GEVO,0.68,0.53,0.44,0.35,0.34,0.27
ROCK,0.91,0.15,0.91,0.15,0.91,0.15
GIGA,1.38,0.65,0.58,0.28,0.4,0.19
GIII,2.55,0.16,2.55,0.16,2.55,0.16
GILD,4.77,0.59,3.97,0.48,3.51,0.42
GLAD,0.78,0.06,0.78,0.06,0.78,0.06
GOOD,1.12,0.04,1.12,0.04,1.12,0.04
GAIN,0.73,0.05,0.73,0.05,0.73,0.05
LAND,1.2,0.01,1.2,0.01,1.2,0.01
ENT,1.9,0.11,1.77,0.1,1.69,0.1
GBLI,0.36,0.04,0.36,0.04,0.36,0.04
GSM,2.01,0.08,2.01,0.08,2.01,0.08
GBIM,2.53,0.52,1.92,0.38,1.6,0.31
GLUU,2.31,0.41,1.39,0.21,1.05,0.15
GLYC,2.85,0.76,1.63,0.45,1.23,0.34
GOGO,2.83,0.16,2.35,0.13,2.08,0.12
GLDC,1.19,0.07,1.19,0.07,1.19,0.07
GBDC,1.1,0.04,1.1,0.04,1.1,0.04
GTIM,3.87,0.07,3.87,0.07,3.87,0.07
GOOGL,2.98,0.21,2.52,0.18,2.25,0.16
GPRO,6.33,0.66,4.83,0.44,4.12,0.35
GMAN,0.9,0.04,0.9,0.04,0.9,0.04
LOPE,2.88,0.25,2.88,0.25,2.88,0.25
GLDD,0.77,0.03,0.77,0.03,0.77,0.03
GRBK,1.1,0.41,1.1,0.41,1.1,0.41
GPRE,1.0,0.17,1.0,0.17,1.0,0.17
GLRE,0.76,0.08,0.76,0.08,0.76,0.08
GRIF,1.26,0.02,1.26,0.02,1.26,0.02
GRPN,2.54,0.02,2.54,0.02,2.54,0.02
GSIG,1.49,0.18,1.26,0.16,1.12,0.14
GSIT,1.1,0.16,0.83,0.12,0.7,0.1
GSVC,0.76,0.04,0.76,0.04,0.76,0.04
GTXI,2.08,1.82,0.76,0.44,0.48,0.26
GUID,2.12,0.45,1.13,0.24,0.81,0.17
GULTU,1.02,0.0,1.02,0.0,1.02,0.0
GIFI,0.51,0.06,0.51,0.06,0.51,0.06
GURE,0.36,0.08,0.36,0.08,0.36,0.08
GPOR,1.47,0.07,1.47,0.07,1.47,0.07
GWGH,0.66,0.13,0.66,0.13,0.66,0.13
GYRO,0.55,0.07,0.55,0.07,0.55,0.07
HEES,1.35,0.11,1.35,0.11,1.35,0.11
HNRG,1.12,0.06,1.12,0.06,1.12,0.06
HALL,0.31,0.02,0.31,0.02,0.31,0.02
HALO,12.23,0.8,4.9,0.34,3.28,0.23
HNH,1.12,0.12,1.12,0.12,1.12,0.12
HNSN,2.86,1.1,1.47,0.59,1.05,0.43
HDNG,0.51,0.04,0.51,0.04,0.51,0.04
HLIT,1.35,0.22,0.84,0.14,0.63,0.11
TINY,0.87,0.06,0.87,0.06,0.87,0.06
HART          ,4.08,1.53,1.39,0.66,0.91,0.45
HCAP,0.91,0.08,0.91,0.08,0.91,0.08
HAS,2.35,0.2,2.06,0.17,1.87,0.16
HA,0.9,0.1,0.9,0.1,0.9,0.1
HCOM,0.72,0.04,0.72,0.04,0.72,0.04
HWKN,1.8,0.13,1.8,0.13,1.8,0.13
HAYN,0.93,0.04,0.92,0.04,0.91,0.04
HDS,1.96,0.1,1.96,0.1,1.96,0.1
HIIQ,0.67,0.05,0.67,0.05,0.67,0.05
HCSG,4.86,0.22,4.86,0.22,4.86,0.22
HQY,9.01,0.25,7.86,0.21,7.17,0.18
HSTM,3.38,0.14,2.94,0.12,2.67,0.11
HWAY,1.07,0.04,1.07,0.04,1.07,0.04
HTLD,2.47,0.18,2.47,0.18,2.47,0.18
HTWR,3.41,0.37,1.95,0.21,1.45,0.16
HTBX,3.6,0.85,2.51,0.61,2.04,0.5
HSII,0.8,0.05,0.8,0.05,0.8,0.05
HELE,1.58,0.08,1.58,0.08,1.58,0.08
HMNY,1.33,0.04,1.33,0.04,1.33,0.04
HMTV,1.56,0.05,1.56,0.05,1.56,0.05
HNNA,1.86,0.19,1.86,0.19,1.86,0.19
HSIC,2.03,0.12,2.03,0.12,2.03,0.12
HERO,0.66,0.14,0.66,0.14,0.66,0.14
HCCI,1.08,0.1,1.08,0.1,1.08,0.1
MLHR,1.67,0.2,1.45,0.17,1.31,0.15
HSKA,2.01,0.05,1.93,0.05,1.87,0.04
HIBB,2.66,0.27,2.66,0.27,2.66,0.27
HPJ,0.78,0.09,0.69,0.08,0.63,0.07
HMSY,1.94,0.04,1.94,0.04,1.94,0.04
HOLX,1.64,0.06,1.53,0.06,1.46,0.06
AWAY,1.92,0.08,1.71,0.07,1.58,0.06
HOFT,1.57,0.12,1.57,0.12,1.57,0.12
HZNP,4.12,0.07,3.97,0.06,3.84,0.06
HRZN,1.09,0.04,1.09,0.04,1.09,0.04
ZINC,1.27,0.02,1.27,0.02,1.27,0.02
HMHC,1.19,0.12,1.19,0.12,1.19,0.12
HWCC,1.16,0.13,1.16,0.13,1.16,0.13
HSNI,2.53,0.21,2.53,0.21,2.53,0.21
HUBG,1.3,0.07,1.3,0.07,1.3,0.07
HSON,0.62,0.12,0.62,0.12,0.62,0.12
HDSN,2.47,0.06,2.47,0.06,2.47,0.06
HURC,0.95,0.11,0.95,0.11,0.95,0.11
HURN,1.55,0.12,1.55,0.12,1.55,0.12
HTCH,0.83,0.11,0.72,0.1,0.65,0.09
HBP,0.99,0.05,0.99,0.05,0.99,0.05
HPTX,5.42,0.36,4.27,0.29,3.64,0.25
IDSY,1.74,0.35,1.33,0.27,1.13,0.23
IACI,1.67,0.13,1.52,0.12,1.41,0.11
ICAD,1.83,0.11,1.48,0.09,1.27,0.08
IEP,0.64,0.02,0.64,0.02,0.64,0.02
ICFI,1.02,0.08,1.02,0.08,1.02,0.08
ICON,0.93,0.09,0.93,0.09,0.93,0.09
ICUI,2.51,0.11,2.33,0.1,2.2,0.1
IPWR,7.06,0.74,4.82,0.53,3.88,0.44
INVE,1.3,0.27,1.05,0.21,0.91,0.18
IDRA,7.05,1.06,3.43,0.57,2.46,0.42
IDXX,6.1,0.27,5.1,0.23,4.5,0.2
IGTE,3.22,0.14,3.22,0.14,3.22,0.14
IRG,0.8,0.08,0.8,0.08,0.8,0.08
RXDX,2.75,0.73,1.78,0.49,1.44,0.4
IIVI,1.28,0.1,1.18,0.09,1.11,0.08
IKAN,1.25,1.93,0.29,0.45,0.17,0.27
IKNX,2.06,0.11,1.82,0.09,1.65,0.09
ILMN,8.34,0.28,6.53,0.22,5.57,0.19
ISNS,0.91,0.87,0.45,0.47,0.32,0.34
IMMR,2.85,0.16,2.15,0.13,1.79,0.11
ICCC,1.77,0.26,1.26,0.19,1.03,0.15
IMDZ,6.4,1.0,4.04,0.53,3.17,0.4
IMNP          ,1.38,0.62,1.02,0.45,0.84,0.37
IMGN,6.06,1.33,1.95,0.48,1.27,0.32
IMMU,13.82,2.29,3.22,0.64,1.99,0.41
IPXL,3.14,0.16,2.59,0.13,2.26,0.11
IMMY,6.9,0.81,5.36,0.66,4.44,0.56
SAAS,3.87,0.28,3.02,0.21,2.59,0.18
INCY,22.0,0.66,10.9,0.31,7.79,0.22
IDSA,1.26,0.17,1.26,0.17,1.26,0.17
INFN,3.31,0.22,2.26,0.14,1.79,0.11
INFI,1.83,1.3,0.92,0.56,0.65,0.39
IPCC,0.49,0.03,0.49,0.03,0.49,0.03
INFA,2.74,0.21,2.14,0.16,1.82,0.14
III,1.5,0.09,1.5,0.09,1.5,0.09
IFON,1.53,0.1,1.33,0.09,1.19,0.08
IMKTA,1.13,0.08,1.13,0.08,1.13,0.08
INWK,0.71,0.08,0.71,0.08,0.71,0.08
INOD,1.4,0.03,1.4,0.03,1.4,0.03
IPHS,1.88,0.15,1.84,0.15,1.82,0.15
IOSP,1.23,0.16,1.16,0.15,1.1,0.14
ISSC,1.5,0.17,1.26,0.15,1.12,0.13
INGN,5.16,0.1,4.93,0.09,4.75,0.09
INO,4.6,0.53,2.91,0.34,2.26,0.27
NSIT,0.61,0.07,0.61,0.07,0.61,0.07
ISIG,1.2,0.06,1.2,0.06,1.2,0.06
INSM,6.0,0.73,3.78,0.43,2.93,0.33
IIIN,1.62,0.09,1.62,0.09,1.62,0.09
PODD,6.3,0.13,5.05,0.11,4.35,0.09
INSY,9.3,0.58,7.45,0.44,6.54,0.37
IART,1.67,0.08,1.52,0.07,1.41,0.06
IDTI,3.16,0.26,2.08,0.17,1.61,0.13
IESC,1.01,0.06,1.01,0.06,1.01,0.06
ISSI,1.47,0.17,1.13,0.13,0.95,0.11
INTC,1.83,0.29,1.35,0.22,1.11,0.18
IQNT,3.66,0.4,3.66,0.4,3.66,0.4
IPAR,1.61,0.08,1.61,0.08,1.61,0.08
IBKR,0.05,0.01,0.05,0.01,0.05,0.01
ININ,2.82,0.23,1.92,0.16,1.53,0.13
ICPT,25.14,0.78,16.33,0.5,13.08,0.4
ICLD,0.58,0.2,0.58,0.2,0.58,0.2
IDCC,1.83,0.2,1.56,0.17,1.39,0.15
TILE,2.04,0.09,2.04,0.09,2.04,0.09
IMI,1.01,0.4,0.6,0.25,0.45,0.19
INAP,1.56,0.02,1.56,0.02,1.56,0.02
ISCA,0.95,0.05,0.95,0.05,0.95,0.05
PTNT,0.96,0.09,0.96,0.09,0.96,0.09
INPH,1.11,0.51,0.68,0.32,0.51,0.24
XENT,9.7,0.72,6.62,0.41,5.24,0.31
INTX,0.66,0.35,0.66,0.35,0.66,0.35
ISIL,1.59,0.17,1.19,0.13,0.99,0.11
IILG,1.47,0.11,1.47,0.11,1.47,0.11
IVAC,1.01,0.27,0.65,0.18,0.5,0.14
INTL,0.21,0.01,0.21,0.01,0.21,0.01
ITCI,5.69,0.38,3.89,0.26,3.09,0.21
IIN,1.49,0.24,1.07,0.17,0.86,0.14
INTU,5.45,0.48,3.9,0.34,3.16,0.28
ISRG,4.68,0.19,4.14,0.17,3.78,0.15
INVT,0.53,0.26,0.53,0.26,0.53,0.26
SNAK,1.35,0.1,1.35,0.1,1.35,0.1
ITIC,0.74,0.07,0.74,0.07,0.74,0.07
NVIV,19.3,1.53,7.21,0.61,4.81,0.41
IPAS,1.43,0.54,0.84,0.32,0.63,0.24
IPCM,1.66,0.11,1.66,0.11,1.66,0.11
IPGP,4.1,0.29,3.7,0.26,3.44,0.24
IRIX,2.38,0.21,1.82,0.15,1.53,0.12
IRDM,0.79,0.05,0.78,0.05,0.77,0.05
IRBT,2.05,0.27,1.47,0.19,1.2,0.15
IRWD,6.83,0.74,3.51,0.4,2.49,0.29
ISIS,8.26,0.36,5.07,0.21,3.88,0.16
ISLE,1.28,0.17,1.19,0.16,1.12,0.15
ISRL,2.2,0.24,2.2,0.24,2.2,0.24
ITRI,1.02,0.15,0.78,0.12,0.65,0.1
XXIA,1.37,0.19,0.99,0.14,0.81,0.11
IXYS,1.11,0.14,0.9,0.11,0.77,0.1
JJSF,2.79,0.15,2.79,0.15,2.79,0.15
MAYS,1.67,0.04,1.67,0.04,1.67,0.04
JBHT,3.33,0.2,3.33,0.2,3.33,0.2
JCOM,2.35,0.14,2.25,0.13,2.17,0.13
JKHY,3.54,0.24,3.15,0.22,2.89,0.2
JACK,3.3,0.13,3.3,0.13,3.3,0.13
JAKK,0.62,0.13,0.62,0.13,0.62,0.13
JMBA,2.84,0.17,2.84,0.17,2.84,0.17
JASN,0.72,0.02,0.72,0.02,0.72,0.02
JAZZ,3.75,0.13,3.58,0.12,3.46,0.12
JDSU,1.59,0.14,1.17,0.11,0.97,0.09
JBLU,1.07,0.07,1.07,0.07,1.07,0.07
JTPY,0.42,0.02,0.42,0.02,0.42,0.02
JCTCF,1.5,0.16,1.5,0.16,1.5,0.16
JIVE,1.56,0.41,1.0,0.26,0.77,0.2
JOEZ,0.67,0.19,0.67,0.19,0.67,0.19
JBSS,1.34,0.11,1.34,0.11,1.34,0.11
JOUT,1.14,0.15,0.99,0.13,0.89,0.12
KTWO,2.87,0.21,2.54,0.18,2.34,0.17
KALU,1.01,0.08,1.01,0.08,1.01,0.08
KBIO,0.64,1.14,0.22,0.45,0.14,0.3
KNDI,1.93,0.05,1.87,0.04,1.83,0.04
KCLI,0.11,0.01,0.11,0.01,0.11,0.01
KPTI,4.77,0.73,3.16,0.46,2.54,0.36
KCAP,0.68,0.06,0.68,0.06,0.68,0.06
KELYA,0.38,0.01,0.38,0.01,0.38,0.01
KERX,11.1,1.22,5.32,0.66,3.81,0.49
GMCR,3.84,0.2,3.84,0.2,3.84,0.2
KEQU,0.75,0.09,0.75,0.09,0.75,0.09
KTEC,0.94,0.19,0.71,0.14,0.59,0.12
KTCC,0.81,0.08,0.75,0.07,0.71,0.07
KFRC,2.05,0.14,2.05,0.14,2.05,0.14
KBAL,0.57,0.09,0.57,0.09,0.57,0.09
KIN,1.4,0.48,1.12,0.38,0.99,0.33
KGJI,0.44,0.21,0.44,0.21,0.44,0.21
KINS,0.42,0.06,0.42,0.06,0.42,0.06
KIRK,1.62,0.13,1.62,0.13,1.62,0.13
KITE,6.39,0.3,5.85,0.26,5.54,0.23
KLAC,2.62,0.23,2.01,0.18,1.69,0.15
KONA,3.18,0.03,3.18,0.03,3.18,0.03
KOPN,1.95,0.38,1.36,0.27,1.09,0.22
KOSS,0.82,0.22,0.82,0.22,0.82,0.22
KRFT,2.64,0.13,2.64,0.13,2.64,0.13
KTOS,0.87,0.04,0.83,0.03,0.79,0.03
KLIC,1.27,0.19,1.04,0.15,0.9,0.13
KVHI,1.26,0.09,1.08,0.08,0.97,0.07
KYTH,12.36,1.38,5.57,0.7,3.84,0.5
FSTR,0.99,0.08,0.99,0.08,0.99,0.08
LJPC,6.71,1.09,4.99,0.68,4.23,0.54
LAKE,0.87,0.04,0.87,0.04,0.87,0.04
LACO,1.04,0.19,1.04,0.19,1.04,0.19
LRCX,1.67,0.19,1.35,0.15,1.18,0.13
LAMR,2.29,0.08,2.29,0.08,2.29,0.08
LANC,3.78,0.22,3.78,0.22,3.78,0.22
LNDC,1.29,0.07,1.2,0.07,1.13,0.07
LE,1.06,0.11,1.06,0.11,1.06,0.11
LSTR,2.85,0.23,2.85,0.23,2.85,0.23
LTRX,0.87,0.26,0.52,0.16,0.39,0.12
LSCC,1.4,0.26,0.94,0.17,0.74,0.14
LAWS,1.56,0.06,1.56,0.06,1.56,0.06
LAYN,0.46,0.1,0.46,0.1,0.46,0.1
LDRH,5.93,0.15,4.94,0.12,4.34,0.11
LTRE,0.28,0.13,0.25,0.12,0.23,0.11
LGCY,0.98,0.27,0.98,0.27,0.98,0.27
LMAT,1.87,0.15,1.58,0.12,1.4,0.11
TREE,5.0,0.13,4.46,0.11,4.11,0.1
LXRX,1.9,0.67,1.22,0.35,0.94,0.25
LGIH,1.26,0.12,1.26,0.12,1.26,0.12
LHCG,1.4,0.09,1.4,0.09,1.4,0.09
LBTYA,1.29,0.03,1.29,0.03,1.29,0.03
QVCA,1.18,0.06,1.18,0.06,1.18,0.06
LMCA,0.61,0.03,0.61,0.03,0.61,0.03
